RMSE (en %);RMSE OOS (en %);Residuals Statio PValue;Predictor_1;Predictor_2;Coeff_1;Coeff_2;Transfo_1;Transfo_2;Priority_1;Priority_2;2-1;Is signif;Breusch-Pagan;Durbin Watson;Jarque Bera;R2;R2OOS
6,2;8,9;0,0;EUR003M_Index.lag_12;EUROSTAT_GDPEuroArea.pct.lag_12;-12533,13;1403,58;Level;Growth_rate;1;1,0;-0,69;1;0,17;0;92;0,86;-2427,616191351546
5,8;5,6;0,0;INSEE_ConsommationFinaleMenagesFR.lag_3;EUSA5_Curncy.Diff.lag_1;0,74;-2525,79;Level;Difference;1;1,0;0,39;1;0,67;0;30;0,87;-2445,9880775159445
5,4;4,5;0,0;INSEE_InvestEntreprisesNonFinancieresFR.lag_1;Spread5Y3M.lag_1;1,24;-1839,99;Level;Level;1;1,0;0,06;1;0,85;1;0;0,89;-2476,612211074434
6,1;5,3;0,0;INSEE_PIBFR.t;SP_SP500.Diff.lag_12;0,36;-0,26;Level;Difference;1;1,0;0,03;1;0,78;0;4;0,86;-2483,719499385917
5,4;5,1;0,0;EUROSTAT_GDPEuroArea.t;CPI_Excl_Tabac.Diff.lag_3;0,06;-850,46;Level;Difference;1;1,0;0,19;1;0,65;0;68;0,89;-2487,8276916745604
6,6;5,7;0,0;PIB_Reel.lag_1;STOXX_EUROSTOXX50.Diff.lag_12;355,2;-0,12;Level;Difference;1;1,0;-0,02;0;0,69;0;29;0,84;-2501,369186198533
5,4;4,2;0,0;EUROSTAT_GDPEuroArea.lag_3;Spread5Y3M.pct.t;0,06;-4,99;Level;Growth_rate;1;1,0;0,54;0;0,66;1;3;0,9;-2512,0881382316443
5,5;4,5;0,0;EUROSTAT_GDPEuroArea.lag_3;Spread10Y3M.Diff.t;0,06;356,53;Level;Difference;1;1,0;0,3;1;0,45;0;23;0,89;-2516,186282419978
5,6;5,6;0,0;INSEE_ConsommationFinaleMenagesFR.lag_3;Spread5Y6M.Diff.lag_3;0,74;-3639,13;Level;Difference;1;1,0;0,31;0;0,84;0;22;0,88;-2517,4966275085194
5,6;4,8;0,0;EUROSTAT_GDPEuroArea.lag_1;INSEE_ConfianceMenagesFR.Diff.lag_1;0,06;-60,11;Level;Difference;1;1,0;-0,22;0;0,78;1;4;0,88;-2535,3888183130243
7,4;4,9;0,0;SP_SP500.t;PIB_Reel.pct.lag_12;13,15;683,92;Level;Growth_rate;1;1,0;0,6;0;0,49;0;6;0,8;-2549,964296885966
5,4;6,5;0,0;INSEE_InvestEntreprisesNonFinancieresFR.t;Chomage.lag_12;1,29;2358,31;Level;Level;1;1,0;-0,53;1;0,62;1;2;0,89;-2550,9663752703505
5,7;4,4;0,0;INSEE_ConsommationFinaleMenagesFR.lag_3;EURONEXT_CAC40.pct.lag_12;0,76;51,95;Level;Growth_rate;1;1,0;-0,5;0;0,58;1;3;0,88;-2555,524206479572
5,8;7,3;0,0;INSEE_ConsommationFinaleMenagesFR.lag_1;RDB_Nominal.Diff.lag_3;0,67;324,05;Level;Difference;1;1,0;0,6;0;0,26;0;14;0,87;-2565,5240561035853
6,5;5,3;0,0;PIB_Reel.lag_1;CPI_Excl_Tabac.pct.t;371,9;-557,17;Level;Growth_rate;1;1,0;0,68;1;0,25;0;41;0,84;-2584,5281084365283
5,9;7,6;0,0;INSEE_ConsommationFinaleMenagesFR.t;STOXX_EUROSTOXX50.pct.t;0,69;-29,52;Level;Growth_rate;1;1,0;-0,22;0;0,57;0;10;0,87;-2585,996832297397
7,2;6,5;0,0;SP_SP500.t;INSEE_ProductionIndustrielle_France.lag_1;11,95;322,54;Level;Level;1;1,0;0,82;0;0,73;0;7;0,81;-2597,066441806226
5,7;5,1;0,0;INSEE_PIBFR.lag_3;SpreadOat10Y3M.lag_12;0,35;-1021,43;Level;Level;1;1,0;-0,61;1;0,43;0;3;0,88;-2603,6540956864333
6,6;5,2;0,0;PIB_Reel.t;EURONEXT_CAC40.Diff.t;350,0;-0,43;Level;Difference;1;1,0;0,04;1;0,68;0;5;0,84;-2606,742053114293
5,6;5,8;0,0;INSEE_InvestEntreprisesNonFinancieresFR.lag_3;EUR006M_Index.pct.t;1,28;0,29;Level;Growth_rate;1;1,0;0,05;1;0,91;0;0;0,88;-2621,721184252025
5,6;5,4;0,0;INSEE_InvestEntreprisesNonFinancieresFR.lag_1;EUSA5_Curncy.pct.lag_1;1,23;0,06;Level;Growth_rate;1;1,0;0,25;1;0,65;0;0;0,88;-2636,603851742671
